 HL = 0.500 | t1//t0 = 150.000 | l1//l0 = 0.500 | alpha = 1.55 | Tmax = 0.110843
 HL = 7.000 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.53 | Tmax = 1.097343
 HL = 2.000 | t1//t0 = 170.000 | l1//l0 = 0.700 | alpha = 1.26 | Tmax = 0.604991
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.30 | Tmax = 0.287450
 HL = 7.000 | t1//t0 = 220.000 | l1//l0 = 1.000 | alpha = 1.41 | Tmax = Inf
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.050 | alpha = 1.18 | Tmax = 0.122535
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.002 | alpha = 1.13 | Tmax = 0.114381
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.40 | Tmax = 0.079812
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.010 | alpha = 1.05 | Tmax = 0.252058
 HL = 7.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.41 | Tmax = 1.645241
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.020 | alpha = 1.14 | Tmax = 0.087364
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.020 | alpha = 1.13 | Tmax = 0.108436
 HL = 1.000 | t1//t0 = 30.000 | l1//l0 = 0.500 | alpha = 1.23 | Tmax = 0.293864
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.33 | Tmax = 0.105765
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.007 | alpha = 1.20 | Tmax = 0.259714
 HL = 0.500 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.07 | Tmax = 0.126185
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.010 | alpha = 1.38 | Tmax = 0.546702
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.003 | alpha = 1.39 | Tmax = 0.112746
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.28 | Tmax = 0.164063
 HL = 0.500 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.01 | Tmax = 0.127059
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.242635
 HL = 2.000 | t1//t0 = 110.000 | l1//l0 = 1.000 | alpha = 1.19 | Tmax = 0.462838
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 0.100 | alpha = 1.05 | Tmax = 0.091061
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.003 | alpha = 1.23 | Tmax = 0.136485
 HL = 0.200 | t1//t0 = 18.000 | l1//l0 = 0.030 | alpha = 1.29 | Tmax = 0.083304
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.020 | alpha = 1.19 | Tmax = 0.162402
 HL = 5.000 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.36 | Tmax = 1.112394
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.10 | Tmax = 0.363253
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.37 | Tmax = 0.181005
 HL = 0.500 | t1//t0 = 130.000 | l1//l0 = 1.000 | alpha = 1.25 | Tmax = 0.136312
 HL = 0.200 | t1//t0 = 80.000 | l1//l0 = 0.500 | alpha = 1.20 | Tmax = 0.192678
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.005 | alpha = 1.24 | Tmax = 0.252264
 HL = 0.500 | t1//t0 = 70.000 | l1//l0 = 0.700 | alpha = 1.24 | Tmax = 0.123995
 HL = 1.000 | t1//t0 = 40.000 | l1//l0 = 1.000 | alpha = 1.06 | Tmax = 0.191889
 HL = 1.000 | t1//t0 = 150.000 | l1//l0 = 1.000 | alpha = 1.27 | Tmax = 0.141579
 HL = 0.500 | t1//t0 = 50.000 | l1//l0 = 1.000 | alpha = 1.07 | Tmax = 0.129411
 HL = 1.000 | t1//t0 = 220.000 | l1//l0 = 0.700 | alpha = 1.03 | Tmax = 0.285036
