 HL = 7.000 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.48 | Tmax = 0.883566
 HL = 7.000 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.50 | Tmax = 0.634412
 HL = 2.000 | t1//t0 = 90.000 | l1//l0 = 0.300 | alpha = 1.46 | Tmax = 0.266968
 HL = 2.000 | t1//t0 = 70.000 | l1//l0 = 0.300 | alpha = 1.49 | Tmax = 0.172687
 HL = 0.500 | t1//t0 = 12.000 | l1//l0 = 0.100 | alpha = 1.41 | Tmax = 0.126686
 HL = 2.000 | t1//t0 = 90.000 | l1//l0 = 0.700 | alpha = 1.44 | Tmax = 0.090202
 HL = 2.000 | t1//t0 = 70.000 | l1//l0 = 0.500 | alpha = 1.47 | Tmax = 0.090736
 HL = 10.000 | t1//t0 = 70.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 2.568816
 HL = 5.000 | t1//t0 = 18.000 | l1//l0 = 0.300 | alpha = 1.51 | Tmax = 0.549078
 HL = 1.000 | t1//t0 = 60.000 | l1//l0 = 0.300 | alpha = 1.44 | Tmax = 0.093808
 HL = 5.000 | t1//t0 = 13.000 | l1//l0 = 0.100 | alpha = 1.54 | Tmax = 0.555515
 HL = 7.000 | t1//t0 = 17.000 | l1//l0 = 0.300 | alpha = 1.47 | Tmax = 1.486885
 HL = 7.000 | t1//t0 = 18.000 | l1//l0 = 0.300 | alpha = 1.52 | Tmax = 0.890449
 HL = 5.000 | t1//t0 = 40.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = 1.077791
 HL = 7.000 | t1//t0 = 15.000 | l1//l0 = 0.100 | alpha = 1.53 | Tmax = 1.534664
 HL = 5.000 | t1//t0 = 90.000 | l1//l0 = 0.500 | alpha = 1.51 | Tmax = 0.398216
 HL = 5.000 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.51 | Tmax = 0.282877
 HL = 10.000 | t1//t0 = 30.000 | l1//l0 = 0.300 | alpha = 1.55 | Tmax = 0.759020
 HL = 2.000 | t1//t0 = 80.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.150098
 HL = 0.500 | t1//t0 = 18.000 | l1//l0 = 0.007 | alpha = 1.28 | Tmax = 0.188297
 HL = 0.500 | t1//t0 = 110.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = 0.130950
 HL = 2.000 | t1//t0 = 90.000 | l1//l0 = 1.000 | alpha = 1.18 | Tmax = 0.298016
 HL = 7.000 | t1//t0 = 10.000 | l1//l0 = 0.500 | alpha = 1.42 | Tmax = 1.459945
 HL = 28.000 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.54 | Tmax = 5.904313
 HL = 5.000 | t1//t0 = 210.000 | l1//l0 = 1.000 | alpha = 1.43 | Tmax = 0.590183
 HL = 7.000 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.32 | Tmax = 1.568396
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 1.317164
 HL = 22.000 | t1//t0 = 20.000 | l1//l0 = 0.700 | alpha = 1.49 | Tmax = 5.443517
 HL = 10.000 | t1//t0 = 90.000 | l1//l0 = 1.000 | alpha = 1.41 | Tmax = 2.172013
 HL = 7.000 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.28 | Tmax = 1.692002
 HL = 7.000 | t1//t0 = 150.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 1.429855
 HL = 5.000 | t1//t0 = 130.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.789839
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.100 | alpha = 1.33 | Tmax = 0.529576
 HL = 15.000 | t1//t0 = 100.000 | l1//l0 = 1.000 | alpha = 1.43 | Tmax = Inf
