 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.41 | Tmax = 1.064475
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.34 | Tmax = 0.245673
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.51 | Tmax = 0.073247
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.064060
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = 0.063612
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.44 | Tmax = 0.072715
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = 0.161360
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.41 | Tmax = 0.221967
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.42 | Tmax = 0.245352
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.45 | Tmax = 0.108707
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.43 | Tmax = 1.151108
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.43 | Tmax = 0.109564
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.46 | Tmax = 0.087682
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.48 | Tmax = 0.145519
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.48 | Tmax = 0.093093
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.48 | Tmax = 0.118796
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.50 | Tmax = 0.052199
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.48 | Tmax = 0.069279
