 HL = 0.500 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.144429
 HL = 0.500 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.148935
 HL = 0.500 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.145783
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 1.000 | alpha = 1.40 | Tmax = 0.209467
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.307440
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.40 | Tmax = 0.076910
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.075855
 HL = 0.500 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.143174
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.099202
 HL = 1.000 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.109407
 HL = 1.000 | t1//t0 = 18.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.075790
 HL = 1.000 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.111518
 HL = 2.000 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.334207
 HL = 2.000 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.334207
 HL = 1.000 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.105550
 HL = 1.000 | t1//t0 = 18.000 | l1//l0 = 1.000 | alpha = 1.40 | Tmax = 0.075656
 HL = 0.500 | t1//t0 = 12.000 | l1//l0 = 0.007 | alpha = 1.00 | Tmax = 0.187271
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 0.300 | alpha = 1.29 | Tmax = 0.155745
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.48 | Tmax = 0.075289
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.300 | alpha = 1.41 | Tmax = 0.208237
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.088731
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.44 | Tmax = 1.258987
 HL = 7.000 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.51 | Tmax = 0.697008
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.43 | Tmax = 0.756455
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.50 | Tmax = 0.106851
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.43 | Tmax = 0.221900
 HL = 5.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.49 | Tmax = 0.533714
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.49 | Tmax = 0.077739
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.45 | Tmax = 0.088383
 HL = 2.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.44 | Tmax = 0.188083
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.45 | Tmax = 0.732785
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.45 | Tmax = 0.581311
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.51 | Tmax = 0.077060
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.48 | Tmax = 0.048769
