 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.010 | alpha = 1.34 | Tmax = 0.066959
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.47 | Tmax = 0.082253
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.003 | alpha = 1.47 | Tmax = 1.187558
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.46 | Tmax = 1.238170
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.39 | Tmax = 0.119279
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.010 | alpha = 1.06 | Tmax = 0.063865
 HL = 22.000 | t1//t0 = 12.000 | l1//l0 = 0.007 | alpha = 1.12 | Tmax = Inf
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.38 | Tmax = 0.117564
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.300 | alpha = 1.10 | Tmax = 0.069093
 HL = 18.000 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.56 | Tmax = Inf
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.500 | alpha = 1.09 | Tmax = 0.067012
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.18 | Tmax = 0.063666
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.005 | alpha = 1.07 | Tmax = 0.062799
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.11 | Tmax = 0.134083
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.21 | Tmax = 0.063090
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.050 | alpha = 1.01 | Tmax = 0.150061
 HL = 2.000 | t1//t0 = 120.000 | l1//l0 = 0.003 | alpha = 1.01 | Tmax = Inf
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 1.000 | alpha = 1.18 | Tmax = 0.062784
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.070 | alpha = 1.03 | Tmax = 0.062530
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.13 | Tmax = 0.081642
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.18 | Tmax = 0.065680
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.29 | Tmax = 0.119015
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.03 | Tmax = 0.140403
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.39 | Tmax = 0.118141
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.115218
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 0.700 | alpha = 1.07 | Tmax = 0.064085
 HL = 10.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.53 | Tmax = 1.292077
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.030 | alpha = 1.10 | Tmax = 0.062712
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.001 | alpha = 1.32 | Tmax = 0.489078
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.03 | Tmax = 0.127293
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.09 | Tmax = 0.133819
 HL = 18.000 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.56 | Tmax = Inf
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.10 | Tmax = 0.155922
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.30 | Tmax = 0.103798
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.003 | alpha = 1.01 | Tmax = 0.146817
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.28 | Tmax = 0.332336
